Code,Name,Gender,Age,Address,Phone,Email
S001, Sarah Jones, M, 25, 540 Birch Blvd, 555-8389, sarah.jones1@example.com
S002, Liam Anderson, F, 25, 410 Main St, 555-4176, liam.anderson2@example.com
S003, Sarah Brown, F, 23, 441 Birch Blvd, 555-3607, sarah.brown3@example.com
S004, Olivia Anderson, M, 18, 678 Pine Rd, 555-2871, olivia.anderson4@example.com
S005, Tom Williams, M, 21, 868 Maple Dr, 555-3828, tom.williams5@example.com
S006, Liam Doe, M, 25, 678 Maple Dr, 555-1989, liam.doe6@example.com
S007, John Wilson, F, 19, 870 Pine Rd, 555-4370, john.wilson7@example.com
S008, Daniel Doe, M, 18, 985 Cedar Ave, 555-2780, daniel.doe8@example.com
S009, Olivia Smith, M, 18, 942 Ash Ct, 555-7108, olivia.smith9@example.com
S010, Bob Williams, F, 24, 281 Ash Ct, 555-8647, bob.williams10@example.com
S011, John Smith, M, 25, 674 Birch Blvd, 555-5989, john.smith11@example.com
S012, Bob Smith, F, 21, 810 Maple Dr, 555-1769, bob.smith12@example.com
S013, John Doe, M, 21, 212 Oak Ave, 555-9416, john.doe13@example.com
S014, Jane Doe, M, 19, 573 Elm St, 555-9193, jane.doe14@example.com
S015, Emily Doe, M, 21, 841 Pine Rd, 555-4270, emily.doe15@example.com
S016, Alice Williams, F, 22, 877 Pine Rd, 555-6909, alice.williams16@example.com
S017, Liam Wilson, F, 20, 509 Elm St, 555-7769, liam.wilson17@example.com
S018, Daniel Anderson, F, 19, 563 Elm St, 555-5964, daniel.anderson18@example.com
S019, Emily Doe, F, 24, 133 Birch Blvd, 555-6378, emily.doe19@example.com
S020, Alice Brown, F, 25, 627 Main St, 555-4276, alice.brown20@example.com
S021, Bob Anderson, M, 20, 871 Oak Ave, 555-9642, bob.anderson21@example.com
S022, Tom Johnson, M, 20, 248 Main St, 555-9453, tom.johnson22@example.com
S023, Sarah Smith, F, 22, 256 Maple Dr, 555-1461, sarah.smith23@example.com
S024, Daniel Davis, M, 19, 698 Pine Rd, 555-9748, daniel.davis24@example.com
S025, Alice Wilson, F, 24, 466 Ash Ct, 555-3759, alice.wilson25@example.com
S026, Emily Doe, F, 21, 954 Cedar Ave, 555-6894, emily.doe26@example.com
S027, Sarah Johnson, F, 24, 784 Oak Ave, 555-9190, sarah.johnson27@example.com
